,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__solver,param_vect__max_df,param_vect__min_df,param_vect__norm,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,0.6426023244857788,0.08398377895355225,0.3334500789642334,0.052198171615600586,0.001,lbfgs,0.6,1,l1,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.6, 'vect__min_df': 1, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
1,0.6906852722167969,0.007333278656005859,0.28716957569122314,0.016022086143493652,0.001,lbfgs,0.6,1,l2,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.6, 'vect__min_df': 1, 'vect__norm': 'l2'}",0.105,0.105,0.105,0.0,280
2,0.5132583379745483,0.026341557502746582,0.26869285106658936,0.009859204292297363,0.001,lbfgs,0.6,3,l1,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.6, 'vect__min_df': 3, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
3,0.5790379047393799,0.16994237899780273,0.4013333320617676,0.06713199615478516,0.001,lbfgs,0.6,3,l2,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.6, 'vect__min_df': 3, 'vect__norm': 'l2'}",0.105,0.105,0.105,0.0,280
4,0.3129624128341675,0.022089123725891113,0.1913834810256958,0.0028611421585083008,0.001,lbfgs,0.6,5,l1,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.6, 'vect__min_df': 5, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
5,0.5751359462738037,0.19561028480529785,0.38109469413757324,0.16927671432495117,0.001,lbfgs,0.6,5,l2,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.6, 'vect__min_df': 5, 'vect__norm': 'l2'}",0.105,0.105,0.105,0.0,280
6,0.3093271255493164,0.02425861358642578,0.2785518169403076,0.019888877868652344,0.001,lbfgs,0.6,10,l1,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.6, 'vect__min_df': 10, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
7,0.5771588087081909,0.06594598293304443,0.22405481338500977,0.04048347473144531,0.001,lbfgs,0.6,10,l2,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.6, 'vect__min_df': 10, 'vect__norm': 'l2'}",0.105,0.105,0.105,0.0,280
8,1.011870265007019,0.010565876960754395,0.6710081100463867,0.0058786869049072266,0.001,lbfgs,0.8,1,l1,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.8, 'vect__min_df': 1, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
9,1.3067452907562256,0.16880106925964355,0.37844526767730713,0.034670233726501465,0.001,lbfgs,0.8,1,l2,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.8, 'vect__min_df': 1, 'vect__norm': 'l2'}",0.105,0.105,0.105,0.0,280
10,0.5562208890914917,0.05818617343902588,0.5867794752120972,0.009229540824890137,0.001,lbfgs,0.8,3,l1,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.8, 'vect__min_df': 3, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
11,0.7604762315750122,0.057622551918029785,0.5866556167602539,0.07919144630432129,0.001,lbfgs,0.8,3,l2,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.8, 'vect__min_df': 3, 'vect__norm': 'l2'}",0.105,0.105,0.105,0.0,280
12,0.8801348209381104,0.03950905799865723,0.41701483726501465,0.017316579818725586,0.001,lbfgs,0.8,5,l1,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.8, 'vect__min_df': 5, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
13,0.631332278251648,0.05576980113983154,0.4060635566711426,0.03013920783996582,0.001,lbfgs,0.8,5,l2,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.8, 'vect__min_df': 5, 'vect__norm': 'l2'}",0.105,0.105,0.105,0.0,280
14,0.42733287811279297,0.024805784225463867,0.22799944877624512,0.05793118476867676,0.001,lbfgs,0.8,10,l1,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.8, 'vect__min_df': 10, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
15,0.4261057376861572,0.10910272598266602,0.341327428817749,0.09366488456726074,0.001,lbfgs,0.8,10,l2,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 0.8, 'vect__min_df': 10, 'vect__norm': 'l2'}",0.105,0.105,0.105,0.0,280
16,0.9744099378585815,0.052306532859802246,0.35133516788482666,0.12423217296600342,0.001,lbfgs,1.0,1,l1,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 1.0, 'vect__min_df': 1, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
17,1.0238364934921265,0.12132704257965088,0.5979560613632202,0.26738154888153076,0.001,lbfgs,1.0,1,l2,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 1.0, 'vect__min_df': 1, 'vect__norm': 'l2'}",0.105,0.105,0.105,0.0,280
18,0.4300727844238281,0.028627395629882812,0.4221404790878296,0.165075421333313,0.001,lbfgs,1.0,3,l1,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 1.0, 'vect__min_df': 3, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
19,0.699343204498291,0.019378662109375,0.9804402589797974,0.8043199777603149,0.001,lbfgs,1.0,3,l2,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 1.0, 'vect__min_df': 3, 'vect__norm': 'l2'}",0.105,0.105,0.105,0.0,280
20,0.42359697818756104,0.004377007484436035,0.8855825662612915,0.054155945777893066,0.001,lbfgs,1.0,5,l1,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 1.0, 'vect__min_df': 5, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
21,1.2988464832305908,0.010867118835449219,1.7827277183532715,0.033579349517822266,0.001,lbfgs,1.0,5,l2,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 1.0, 'vect__min_df': 5, 'vect__norm': 'l2'}",0.105,0.105,0.105,0.0,280
22,2.2862563133239746,0.5446550846099854,1.1303513050079346,0.2289140224456787,0.001,lbfgs,1.0,10,l1,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 1.0, 'vect__min_df': 10, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
23,2.079126238822937,0.25724875926971436,0.8784574270248413,0.1864403486251831,0.001,lbfgs,1.0,10,l2,"{'clf__C': 0.001, 'clf__solver': 'lbfgs', 'vect__max_df': 1.0, 'vect__min_df': 10, 'vect__norm': 'l2'}",0.105,0.105,0.105,0.0,280
24,2.9585227966308594,0.4269435405731201,1.2393797636032104,0.6026445627212524,0.001,liblinear,0.6,1,l1,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 0.6, 'vect__min_df': 1, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
25,2.05044424533844,0.2892802953720093,1.151437520980835,0.08104991912841797,0.001,liblinear,0.6,1,l2,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 0.6, 'vect__min_df': 1, 'vect__norm': 'l2'}",0.105,0.105,0.105,0.0,280
26,1.5951952934265137,0.00426793098449707,1.0197118520736694,0.20109617710113525,0.001,liblinear,0.6,3,l1,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 0.6, 'vect__min_df': 3, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
27,1.512196660041809,0.16556060314178467,1.6384512186050415,0.01816880702972412,0.001,liblinear,0.6,3,l2,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 0.6, 'vect__min_df': 3, 'vect__norm': 'l2'}",0.105,0.105,0.105,0.0,280
28,2.4725197553634644,1.1667128801345825,2.0521156787872314,0.41263556480407715,0.001,liblinear,0.6,5,l1,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 0.6, 'vect__min_df': 5, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
29,2.119167447090149,0.3488959074020386,1.9072623252868652,0.040735721588134766,0.001,liblinear,0.6,5,l2,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 0.6, 'vect__min_df': 5, 'vect__norm': 'l2'}",0.105,0.105,0.105,0.0,280
30,2.345572590827942,0.17944061756134033,1.534569501876831,0.2771155834197998,0.001,liblinear,0.6,10,l1,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 0.6, 'vect__min_df': 10, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
31,3.38945734500885,0.29200661182403564,2.0834516286849976,0.05608975887298584,0.001,liblinear,0.6,10,l2,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 0.6, 'vect__min_df': 10, 'vect__norm': 'l2'}",0.105,0.105,0.105,0.0,280
32,4.037332892417908,0.3787010908126831,2.0657575130462646,0.09896278381347656,0.001,liblinear,0.8,1,l1,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 0.8, 'vect__min_df': 1, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
33,3.412441611289978,0.3426872491836548,1.5445163249969482,0.0116729736328125,0.001,liblinear,0.8,1,l2,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 0.8, 'vect__min_df': 1, 'vect__norm': 'l2'}",0.105,0.105,0.105,0.0,280
34,3.4701117277145386,0.7942637205123901,1.623623251914978,0.20556151866912842,0.001,liblinear,0.8,3,l1,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 0.8, 'vect__min_df': 3, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
35,3.363478422164917,0.666694164276123,1.2393982410430908,0.1016385555267334,0.001,liblinear,0.8,3,l2,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 0.8, 'vect__min_df': 3, 'vect__norm': 'l2'}",0.105,0.105,0.105,0.0,280
36,2.7615426778793335,0.3031870126724243,1.235493540763855,0.03226292133331299,0.001,liblinear,0.8,5,l1,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 0.8, 'vect__min_df': 5, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
37,2.785502791404724,0.07395803928375244,1.3713010549545288,0.14387667179107666,0.001,liblinear,0.8,5,l2,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 0.8, 'vect__min_df': 5, 'vect__norm': 'l2'}",0.105,0.105,0.105,0.0,280
38,2.046620726585388,0.22109687328338623,1.372121810913086,0.17395901679992676,0.001,liblinear,0.8,10,l1,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 0.8, 'vect__min_df': 10, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
39,2.135571002960205,0.04308152198791504,1.2543895244598389,0.1337575912475586,0.001,liblinear,0.8,10,l2,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 0.8, 'vect__min_df': 10, 'vect__norm': 'l2'}",0.105,0.105,0.105,0.0,280
40,2.4647592306137085,0.5382131338119507,1.5158854722976685,0.0006552934646606445,0.001,liblinear,1.0,1,l1,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 1.0, 'vect__min_df': 1, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
41,2.9468380212783813,0.020951390266418457,1.4811147451400757,0.22411692142486572,0.001,liblinear,1.0,1,l2,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 1.0, 'vect__min_df': 1, 'vect__norm': 'l2'}",0.105,0.105,0.105,0.0,280
42,3.183098077774048,0.2122347354888916,0.8421905040740967,0.11329483985900879,0.001,liblinear,1.0,3,l1,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 1.0, 'vect__min_df': 3, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
43,2.8239272832870483,0.24233996868133545,0.8891561031341553,0.11665105819702148,0.001,liblinear,1.0,3,l2,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 1.0, 'vect__min_df': 3, 'vect__norm': 'l2'}",0.105,0.105,0.105,0.0,280
44,2.6895734071731567,0.1617354154586792,0.602179765701294,0.04323625564575195,0.001,liblinear,1.0,5,l1,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 1.0, 'vect__min_df': 5, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
45,2.4061038494110107,0.09193301200866699,0.5311371088027954,0.03331267833709717,0.001,liblinear,1.0,5,l2,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 1.0, 'vect__min_df': 5, 'vect__norm': 'l2'}",0.105,0.105,0.105,0.0,280
46,1.7711846828460693,0.30338525772094727,0.41164159774780273,0.05413031578063965,0.001,liblinear,1.0,10,l1,"{'clf__C': 0.001, 'clf__solver': 'liblinear', 'vect__max_df': 1.0, 'vect__min_df': 10, 'vect__norm': 'l1'}",0.105,0.105,0.105,0.0,280
